Date,Open,High,Low,Close
05/13/2022,"4,081.27","4,081.27","3,858.87","4,023.89"
05/06/2022,"4,130.61","4,307.66","4,062.51","4,123.34"
04/29/2022,"4,255.34","4,308.45","4,124.28","4,131.93"
04/22/2022,"4,385.63","4,512.94","4,267.62","4,271.78"
04/14/2022,"4,462.64","4,471.00","4,381.34","4,392.59"
04/08/2022,"4,547.97","4,593.45","4,450.04","4,488.28"
04/01/2022,"4,541.09","4,637.30","4,507.57","4,545.86"
03/25/2022,"4,462.40","4,546.03","4,424.30","4,543.06"
03/18/2022,"4,202.75","4,465.40","4,161.72","4,463.12"
03/11/2022,"4,327.01","4,327.01","4,157.87","4,204.31"
03/04/2022,"4,354.17","4,416.78","4,279.54","4,328.87"
02/25/2022,"4,332.74","4,385.34","4,114.65","4,384.65"
02/18/2022,"4,412.61","4,489.55","4,327.22","4,348.87"
02/11/2022,"4,505.75","4,590.03","4,401.41","4,418.64"
02/04/2022,"4,431.79","4,595.31","4,414.02","4,500.53"
01/28/2022,"4,356.32","4,453.23","4,222.62","4,431.85"
01/21/2022,"4,632.24","4,632.24","4,395.34","4,397.94"
01/14/2022,"4,655.34","4,748.83","4,582.24","4,662.85"
01/07/2022,"4,778.14","4,818.62","4,662.74","4,677.03"
12/31/2021,"4,733.99","4,808.93","4,733.99","4,766.18"
12/23/2021,"4,587.90","4,740.74","4,531.10","4,725.79"
12/17/2021,"4,710.30","4,731.99","4,600.22","4,620.64"
12/10/2021,"4,548.37","4,713.57","4,540.51","4,712.02"
12/03/2021,"4,628.75","4,672.95","4,495.12","4,538.43"
11/26/2021,"4,712.00","4,743.83","4,585.43","4,594.62"
11/19/2021,"4,689.30","4,717.75","4,672.78","4,697.96"
11/12/2021,"4,701.48","4,714.92","4,630.86","4,682.85"
11/05/2021,"4,610.62","4,718.50","4,595.06","4,697.53"
10/29/2021,"4,553.69","4,608.08","4,537.36","4,605.38"
10/22/2021,"4,463.72","4,559.67","4,447.47","4,544.90"
10/15/2021,"4,385.44","4,475.82","4,329.92","4,471.37"
10/08/2021,"4,348.84","4,429.97","4,278.94","4,391.34"
10/01/2021,"4,442.12","4,457.30","4,288.52","4,357.04"
09/24/2021,"4,402.95","4,465.40","4,305.91","4,455.48"
09/17/2021,"4,474.81","4,492.99","4,427.76","4,432.99"
09/10/2021,"4,535.38","4,535.38","4,457.66","4,458.58"
09/03/2021,"4,513.76","4,545.85","4,513.76","4,535.43"
08/27/2021,"4,450.29","4,513.33","4,450.29","4,509.37"
08/20/2021,"4,461.65","4,480.26","4,367.73","4,441.67"
08/13/2021,"4,437.77","4,468.37","4,424.74","4,468.00"
08/06/2021,"4,406.86","4,440.82","4,373.00","4,436.52"
07/30/2021,"4,409.58","4,429.97","4,372.51","4,395.26"
07/23/2021,"4,296.40","4,415.18","4,233.13","4,411.79"
07/16/2021,"4,372.41","4,393.68","4,322.53","4,327.16"
07/09/2021,"4,356.46","4,371.60","4,289.37","4,369.55"
07/02/2021,"4,284.90","4,355.43","4,274.67","4,352.34"
06/25/2021,"4,173.40","4,286.12","4,173.40","4,280.70"
06/18/2021,"4,248.31","4,257.16","4,164.40","4,166.45"
06/11/2021,"4,229.34","4,249.74","4,208.41","4,247.44"
06/04/2021,"4,216.52","4,234.12","4,167.93","4,229.89"
05/28/2021,"4,170.16","4,218.36","4,170.16","4,204.11"
05/21/2021,"4,169.92","4,188.72","4,061.41","4,155.86"
05/14/2021,"4,074.99","4,183.13","4,074.99","4,173.85"
