week_20190520,Date,Open,High,Low,Close
0,2019-05-24,7962.462960428572,8164.386509571428,7769.485839714286,8030.9544502857125
1,2019-05-31,8616.683175428572,8785.703125142858,8460.398995714286,8626.596679714286
2,2019-06-07,8041.437151285715,8138.956263857142,7745.431152428571,7892.739606571429
3,2019-06-14,8218.513253428571,8496.021624142857,8132.185825857143,8404.503069142858
4,2019-06-21,9581.981166285714,10029.552734428571,9497.844308,9843.488002142856
5,2019-06-28,11735.939313714287,12426.988002142858,11012.423269857143,11740.702287857142
6,2019-07-05,11082.82170757143,11521.575334857143,10688.31975457143,11171.339564714286
7,2019-07-12,11855.803013428571,12228.252232285715,11259.819615,11691.338448571429
8,2019-07-19,10325.93052457143,10765.272461,9864.364536714285,10375.713448714287
9,2019-07-26,9988.06319757143,10102.996093857142,9686.940150714287,9838.354771142858
10,2019-08-02,10070.707868428572,10361.413923142858,9989.31403457143,10274.564592714287
11,2019-08-09,11623.897182,11942.145089285714,11360.46777357143,11704.676897285713
12,2019-08-16,10678.899972000001,10819.893136285715,10273.714564714286,10513.369977714287
13,2019-08-23,10411.20214842857,10579.986746571429,10113.661133142858,10379.262137428572
14,2019-08-30,9886.045061571427,10007.987025571429,9699.276227714287,9829.678850571427
15,2019-09-06,10394.68680257143,10653.669084714285,10291.519391857144,10493.165876
16,2019-09-13,10313.817522285713,10393.36077,10153.84361057143,10300.822544571429
17,2019-09-20,10221.587193,10257.66434142857,10069.724748999999,10179.21149557143
18,2019-09-27,8785.542061999999,8851.130580428571,8342.974679285715,8508.256835857143
19,2019-10-04,8251.207868428572,8322.312220857142,8088.396972714285,8233.682059142857
20,2019-10-11,8326.988769285714,8500.307756714286,8234.128069285714,8376.56263942857
21,2019-10-18,8145.617396857144,8236.489885571427,8035.607212571429,8130.762834857143
22,2019-10-25,8207.780203571429,8668.860909714287,8063.191266857141,8398.210309714286
23,2019-11-01,9316.717913142857,9452.040597142857,9160.824637428572,9272.903459857143
24,2019-11-08,9175.59947,9288.94112742857,9047.36272342857,9151.081473142856
25,2019-11-15,8740.997767857143,8807.07031257143,8614.289201857144,8672.933733285714
26,2019-11-22,7920.677246142856,7993.907714857142,7585.549107285716,7703.963030142857
27,2019-11-29,7392.1768277142855,7596.964495142858,7201.7118442857145,7444.920061285714
28,2019-12-06,7410.077776142857,7564.064104428571,7322.904855142858,7430.007952
29,2019-12-13,7298.667271142856,7345.197614428572,7174.429338857143,7240.891531714286
30,2019-12-20,7090.098074857144,7258.001813428571,6919.875278857144,7139.172363142856
31,2019-12-27,7329.810058428571,7459.104910857143,7253.400530142857,7317.5735212857135
32,2020-01-03,7264.630161857142,7377.456891571428,7168.763741714285,7262.728166714286
33,2020-01-10,7928.1608537142865,8146.299176857144,7820.310686428572,8041.204520142857
34,2020-01-17,8651.771065857143,8849.794364,8516.377929571428,8725.835379428572
35,2020-01-24,8571.225865142856,8651.079938571429,8423.419503285713,8557.291573571429
36,2020-01-31,9203.973075000002,9389.385882,9109.708705428571,9311.68596542857
37,2020-02-07,9545.961495714286,9748.351144,9474.324776714286,9656.492327
